Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.26,0.388888889,False,False,False,True,True,True,32,30,20,1,180,180,0.259,Right,70,Mickey Brantley,180
0.26,0.4,False,False,False,True,True,True,11,10,0,1,180,180,0.263,Right,72,Al Gallagher,180
0.00,0.405405405,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,75,Rob Woodward,185
0.22,0.417647059,False,False,False,True,True,True,39,30,20,1,170,170,0.225,Right,71,Hector Cruz,170
0.12,0.438709677,True,False,False,True,True,False,0,0,0,1,155,155,0.125,Both,68,Fred Norman,155
0.22,0.411111111,False,False,False,True,True,True,1,0,0,1,180,180,0.236,Right,74,Woody Woodward,180
0.22,0.436363636,False,False,False,True,True,True,7,0,0,1,165,165,0.24,Right,72,Ted Martinez,165
0.21,0.423529412,False,False,False,True,True,True,13,10,0,1,170,170,0.218,Right,72,Jim Anderson,170
0.22,0.43125,False,False,False,True,True,True,25,20,20,1,160,160,0.23,Right,69,Lenn Sakata,160
0.21,0.389473684,False,False,False,True,True,True,109,100,100,1,190,190,0.214,Right,74,Dave Duncan,190
0.12,0.404494382,True,False,False,True,True,True,0,0,0,1,175,175,0.132,Right,72,Randy Jones,178
0.22,0.374358974,False,False,False,True,True,True,16,10,0,1,195,195,0.227,Right,73,Dick Billings,195
0.00,0.411428571,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,72,Bob Veselic,175
0.28,0.384615385,False,False,False,True,True,False,100,100,100,1,195,195,0.282,Left,75,Bruce Bochte,195
0.26,0.410404624,False,False,False,True,True,False,96,90,80,1,170,170,0.264,Left,71,Bernie Carbo,173
0.28,0.446666667,False,False,False,True,True,False,36,30,20,1,150,150,0.279,Left,67,Vic Davalillo,150
0.12,0.347619048,False,False,False,True,True,True,4,0,0,1,210,210,0.123,Right,73,Burt Hooton,210
0.00,0.374358974,True,False,True,True,True,False,0,0,0,1,195,195,0,Both,73,Chuck Hockenbery,195
0.00,0.346666667,True,False,True,True,True,True,0,0,0,1,225,225,0,Right,78,Bob Ferris,225
0.22,0.424242424,False,False,False,True,True,True,17,10,0,1,165,165,0.235,Right,70,Fernando Gonzalez,165
0.24,0.378947368,False,False,False,True,True,True,95,90,80,1,190,190,0.248,Right,72,Jim Sundberg,190
