Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.26,0.369230769,False,False,False,True,True,False,563,560,560,1,195,195,0.262,Left,72,Reggie Jackson,195
0.24,0.46,False,False,False,True,True,False,7,0,0,1,150,150,0.251,Left,69,Sonny Jackson,150
0.00,0.35,True,False,True,True,True,False,0,0,0,1,220,220,0,Left,77,Mark Mercer,220
0.22,0.45,False,False,False,True,True,False,3,0,0,1,160,160,0.236,Both,72,Rodney Scott,160
0.26,0.4,False,False,False,True,True,False,12,10,0,1,170,170,0.265,Left,68,Rich Coggins,170
0.22,0.405555556,False,False,False,True,True,True,14,10,0,1,180,180,0.238,Right,73,Phil Gagliano,180
0.22,0.4,False,False,False,True,True,True,27,20,20,1,180,180,0.237,Right,72,Jerry McNertney,180
0.26,0.360975610,False,False,False,True,True,False,72,70,60,1,205,205,0.266,Left,74,Mitchell Page,205
0.22,0.394444444,False,False,False,True,True,True,12,10,0,1,180,180,0.239,Right,71,Kiko Garcia,180
0.24,0.447204969,False,False,False,True,True,False,11,10,0,1,160,160,0.254,Both,72,Larry Milbourne,161
0.22,0.384210526,False,False,False,True,True,False,59,50,40,1,190,190,0.234,Both,73,Bill Sudakis,190
0.00,0.416666667,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,75,John Caneira,180
0.22,0.454545455,False,False,False,True,True,True,8,0,0,1,150,150,0.24,Right,70,Domingo Ramos,154
0.26,0.4,False,False,False,True,True,False,42,40,40,1,185,185,0.265,Both,74,Ron Oester,185
0.28,0.405555556,False,False,False,True,True,False,34,30,20,1,180,180,0.28,Left,73,Glenn Adams,180
0.00,0.417142857,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,73,Clint Zavaras,175
0.26,0.41875,False,False,False,True,True,False,268,260,260,1,160,160,0.271,Left,67,Joe Morgan,160
0.26,0.378947368,False,False,False,True,True,False,35,30,20,1,190,190,0.267,Both,72,R.J. Reynolds,190
0.00,0.361904762,True,False,True,True,True,True,0,0,0,1,210,210,0,Right,76,Mike Parrott,210
0.24,0.379487179,False,False,False,True,True,False,106,100,100,1,195,195,0.255,Left,74,Lee Thomas,195
0.24,0.344186047,False,False,False,True,True,True,61,60,60,1,215,215,0.256,Right,74,Ray Fosse,215
0.22,0.411428571,False,False,False,True,True,False,14,10,0,1,175,175,0.233,Both,72,Paul Popovich,175
0.21,0.394444444,False,False,False,True,True,False,12,10,0,1,180,180,0.216,Left,71,John Stephenson,180
0.22,0.4,False,False,False,True,True,False,12,10,0,1,180,180,0.229,Left,72,Doug Clemens,180
0.00,0.389189189,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,72,Luis Aponte,185
0.19,0.4,False,False,False,True,True,True,7,0,0,1,180,180,0.199,Right,72,Orlando Mercado,180
0.22,0.429411765,False,False,False,True,True,True,69,60,60,1,170,170,0.239,Right,73,Charley Smith,170
0.00,0.37,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,74,Paul Boris,200
0.19,0.44375,False,False,False,True,True,False,6,0,0,1,160,160,0.205,Both,71,Buddy Biancalana,160
0.00,0.423529412,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,72,De Wayne Buice,170
0.19,0.384210526,False,False,False,True,True,True,14,10,0,1,190,190,0.2,Right,73,Bob Uecker,190
0.24,0.430303030,False,False,False,True,True,True,27,20,20,1,165,165,0.254,Right,71,Felix Torres,165
0.26,0.388888889,False,False,False,True,True,False,52,50,40,1,180,180,0.271,Left,70,Steve Braun,180
0.26,0.394594595,False,False,False,True,True,True,84,80,80,1,185,185,0.271,Right,73,Ray Knight,185
0.22,0.423529412,False,False,False,True,True,False,6,0,0,1,170,170,0.238,Left,72,Ty Cline,170
0.26,0.428571429,False,False,False,True,True,False,20,20,20,1,175,175,0.272,Left,75,Thad Bosley,175
0.26,0.411111111,False,False,False,True,True,True,224,220,220,1,180,180,0.266,Right,74,Bobby Grich,180
0.24,0.411428571,False,False,False,True,True,False,121,120,120,1,175,175,0.254,Left,72,Jimmie Hall,175
0.21,0.374358974,False,False,False,True,True,True,26,20,20,1,195,195,0.219,Right,73,John Boccabella,195
0.26,0.4375,False,False,False,True,True,False,1,0,0,1,160,160,0.26,Left,70,Brock Davis,160
0.00,0.384210526,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,73,Mark Esser,190
0.22,0.379487179,False,False,False,True,True,False,112,110,100,1,195,195,0.237,Left,74,Curt Blefary,195
0.00,0.410810811,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,76,Daryl Smith,185
0.00,0.384210526,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,73,Dave Smith,190
0.24,0.405555556,False,False,False,True,True,False,133,130,120,1,180,180,0.252,Left,73,Mack Jones,180
0.22,0.417647059,False,False,False,True,True,True,52,50,40,1,170,170,0.226,Right,71,Buddy Bradford,170
0.26,0.417142857,False,False,False,True,True,False,17,10,0,1,175,175,0.259,Left,73,Hosken Powell,175
0.00,0.394594595,True,False,True,True,True,False,0,0,0,1,185,185,0,Left,73,Dave Stapleton,185
0.26,0.410112360,False,False,False,True,True,True,41,40,40,1,175,175,0.271,Right,73,Dave Stapleton,178
0.28,0.379487179,False,False,False,True,True,True,130,130,120,1,195,195,0.276,Right,74,Gary Ward,195
0.12,0.385,False,False,False,True,True,True,3,0,0,1,200,200,0.136,Right,77,Jim Lonborg,200
0.22,0.411428571,False,False,False,True,True,True,32,30,20,1,175,175,0.233,Right,72,Joe Lis,175
0.24,0.394444444,False,False,False,True,True,False,86,80,80,1,180,180,0.253,Left,71,Dan Meyer,180
0.26,0.4,False,False,False,True,True,False,19,10,0,1,180,180,0.265,Left,72,Jim Holt,180
0.00,0.389473684,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,74,Tom Klawitter,190
0.26,0.394736842,False,False,False,True,True,True,107,100,100,1,190,190,0.274,Right,75,Larry Herndon,190
0.00,0.385,True,False,True,True,True,False,0,0,0,1,200,200,0,Left,77,Gary Christenson,200
0.00,0.375609756,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,77,Jim Wright,205
0.00,0.442424242,True,False,True,True,True,True,0,0,0,1,165,165,0,Right,73,Jim Wright,165
0.24,0.416184971,False,False,False,True,True,False,5,0,0,1,170,170,0.255,Both,72,Wallace Johnson,173
0.00,0.394594595,True,False,True,True,True,False,0,0,0,1,185,185,0,Left,73,Mike Kinnunen,185
0.22,0.423529412,False,False,False,True,True,True,24,20,20,1,170,170,0.236,Right,72,Eddie Leon,170
0.00,0.44,True,False,True,True,True,False,0,0,0,1,175,175,0,Left,77,Dave Rajsich,175
0.26,0.405714286,False,False,False,True,True,True,21,20,20,1,175,175,0.26,Right,71,Jim Wohlford,175
0.15,0.360360360,False,False,False,True,True,True,10,10,0,1,220,220,0.168,Right,80,J.R. Richard,222
0.22,0.4625,False,False,False,True,True,False,19,10,0,1,160,160,0.227,Left,74,Bill Voss,160
0.28,0.378947368,False,False,False,True,True,True,121,120,120,1,190,190,0.279,Right,72,Keith Moreland,190
0.00,0.451612903,True,False,True,True,True,True,0,0,0,1,155,155,0,Right,70,Ramon Pena,155
0.28,0.351219512,False,False,False,True,True,True,78,70,60,1,205,205,0.288,Right,72,Alex Johnson,205
0.26,0.405555556,False,False,False,True,True,False,15,10,0,1,180,180,0.266,Left,73,Wayne Krenchicki,180
0.00,0.383783784,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,71,Chico Escarrega,185
0.22,0.44375,False,False,False,True,True,True,10,10,0,1,160,160,0.236,Right,71,Dave Rosello,160
0.00,0.360576923,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,75,Cardell Camper,208
0.24,0.430303030,False,False,False,True,True,True,57,50,40,1,165,165,0.244,Right,71,Paul Schaal,165
0.24,0.405714286,False,False,False,True,True,True,13,10,0,1,175,175,0.249,Right,71,Tito Landrum,175
0.22,0.423529412,False,False,False,True,True,True,14,10,0,1,170,170,0.237,Right,72,Dave Edwards,170
0.24,0.451612903,False,False,False,True,True,True,7,0,0,1,155,155,0.257,Right,70,Mario Guerrero,155
0.24,0.405555556,False,False,False,True,True,False,153,150,140,1,180,180,0.245,Both,73,Tom Tresh,180
0.00,0.389473684,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,74,Mike Overy,190
0.22,0.4,False,False,False,True,True,False,17,10,0,1,180,180,0.238,Both,72,Ron Roenicke,180
0.24,0.45,False,False,False,True,True,True,7,0,0,1,160,160,0.245,Right,72,Doug Griffin,160
0.17,0.436363636,False,False,False,True,True,True,1,0,0,1,165,165,0.172,Right,72,Steve Blass,165
0.21,0.448484848,False,False,False,True,True,True,22,20,20,1,165,165,0.222,Right,74,Johnnie LeMaster,165
0.00,0.384210526,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,73,Craig Chamberlain,190
0.22,0.4375,False,False,False,True,True,True,2,0,0,1,160,160,0.226,Right,70,Nate Oliver,160
0.19,0.394444444,False,False,False,True,True,False,5,0,0,1,180,180,0.191,Left,71,Ray Sadecki,180
0.21,0.405555556,False,False,False,True,True,True,6,0,0,1,180,180,0.213,Right,73,Ken Rudolph,180
0.28,0.360975610,False,False,False,True,True,True,39,30,20,1,205,205,0.282,Right,74,Wayne Nordhagen,205
0.24,0.4,False,False,False,True,True,False,21,20,20,1,175,175,0.257,Both,70,Biff Pocoroba,175
0.22,0.389473684,False,False,False,True,True,False,30,30,20,1,190,190,0.234,Left,74,Len Matuszek,190
0.00,0.383783784,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,71,Frank Eufemia,185
0.26,0.411764706,False,False,False,True,True,False,31,30,20,1,170,170,0.258,Left,70,Joe Lefebvre,170
0.19,0.389473684,False,False,False,True,True,False,7,0,0,1,190,190,0.201,Left,74,Jim Maloney,190
0.24,0.451612903,False,False,False,True,True,True,5,0,0,1,155,155,0.251,Right,70,Andre Robertson,155
0.19,0.4,False,False,False,True,True,True,3,0,0,1,185,185,0.204,Right,74,Jerry Zimmerman,185
0.00,0.355,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,71,Jack Lazorko,200
0.00,0.373684211,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,71,Mike Paxton,190
0.26,0.378947368,False,False,False,True,True,True,215,210,200,1,190,190,0.273,Right,72,Chet Lemon,190
0.00,0.389473684,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,74,Rickey Keeton,190
0.26,0.4,False,False,False,True,True,False,8,0,0,1,180,180,0.264,Left,72,Phil Mankowski,180
0.28,0.389189189,False,False,False,True,True,True,93,90,80,1,185,185,0.281,Right,72,Cleon Jones,185
0.12,0.423529412,False,False,False,True,True,False,5,0,0,1,170,170,0.127,Both,72,Joaquin Andujar,170
0.24,0.4,False,False,False,True,True,False,90,90,80,1,180,180,0.247,Left,72,Mike Lum,180
0.28,0.428571429,False,False,False,True,True,False,99,90,80,1,175,175,0.278,Left,75,Johnny Grubb,175
0.21,0.414634146,False,False,False,True,True,True,25,20,20,1,160,160,0.213,Right,68,Curt Motton,164
0.26,0.370558376,False,False,False,True,True,True,389,380,380,1,195,195,0.267,Right,73,Johnny Bench,197
0.22,0.4,False,False,False,True,True,True,49,40,40,1,180,180,0.236,Right,72,Dale Berra,180
0.00,0.405555556,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,73,Terry Felton,180
0.22,0.417142857,False,False,False,True,True,False,8,0,0,1,175,175,0.236,Both,73,Bob Meacham,175
0.00,0.38,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,76,Mark Clear,200
0.24,0.411764706,False,False,False,True,True,True,31,30,20,1,170,170,0.248,Right,70,Carl Warwick,170
0.21,0.388297872,False,False,False,True,True,True,45,40,40,1,185,185,0.223,Right,73,Sam Bowens,188
0.24,0.394444444,False,False,False,True,True,False,42,40,40,1,180,180,0.245,Both,71,George Wright,180
0.22,0.398843931,False,False,False,True,True,True,37,30,20,1,170,170,0.236,Right,69,Luis Aguayo,173
0.22,0.411111111,False,False,False,True,True,True,8,0,0,1,180,180,0.228,Right,74,Hal Lanier,180
0.00,0.379487179,True,False,True,True,True,False,0,0,0,1,195,195,0,Left,74,Mike Pazik,195
0.24,0.414201183,False,False,False,True,True,False,27,20,20,1,165,165,0.257,Both,70,Len Randle,169
0.24,0.4,False,False,False,True,True,True,14,10,0,1,180,180,0.25,Right,72,Greg Pryor,180
0.22,0.371134021,False,False,False,True,True,False,27,20,20,1,190,190,0.227,Left,72,Jim Traber,194
0.24,0.4375,False,False,False,True,True,True,20,20,20,1,160,160,0.244,Right,70,Dave Nelson,160
0.24,0.394285714,False,False,False,True,True,True,7,0,0,1,175,175,0.252,Right,69,Lynn Jones,175
0.24,0.4375,False,False,False,True,True,False,3,0,0,1,160,160,0.245,Both,70,Bryan Little,160
0.22,0.394285714,False,False,False,True,True,True,5,0,0,1,175,175,0.227,Right,69,Ken Suarez,175
0.28,0.405882353,False,False,False,True,True,False,2,0,0,1,170,170,0.277,Both,69,Rick Peters,170
0.24,0.4,False,False,False,True,True,False,6,0,0,1,185,185,0.241,Left,74,Ron Stone,185
0.00,0.408602151,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,76,Rich Barnes,186
0.24,0.364102564,False,False,False,True,True,True,130,130,120,1,195,195,0.255,Right,71,Tommie Agee,195
0.24,0.405555556,False,False,False,True,True,True,189,180,180,1,180,180,0.257,Right,73,Bob Bailey,180
0.22,0.379487179,False,False,False,True,True,True,19,10,0,1,195,195,0.23,Right,74,Cap Peterson,195
0.26,0.389473684,False,False,False,True,True,False,36,30,20,1,190,190,0.263,Left,74,Ted Uhlaender,190
0.28,0.367875648,False,False,False,True,True,False,248,240,240,1,190,190,0.285,Both,71,Ted Simmons,193
0.28,0.44375,False,False,False,True,True,False,252,250,240,1,160,160,0.277,Left,71,Bobby Murcer,160
0.21,0.44375,False,False,False,True,True,True,8,0,0,1,160,160,0.213,Right,71,Dick Tracewski,160
0.00,0.331914894,True,False,True,True,True,True,0,0,0,1,235,235,0,Right,78,Dave Frost,235
0.00,0.4,True,False,True,True,True,False,0,0,0,1,180,180,0,Left,72,Mark Souza,180
0.24,0.37,False,False,False,True,True,True,25,20,20,1,200,200,0.241,Right,74,Bill Nahorodny,200
0.29,0.394444444,False,True,False,True,True,True,163,160,160,1,180,180,0.305,Right,71,Bill Madlock,180
0.24,0.379487179,False,False,False,True,True,True,105,100,100,1,195,195,0.254,Right,74,Bob Boone,195
0.00,0.405263158,True,False,True,True,True,False,0,0,0,1,190,190,0,Left,77,Rick Jones,190
0.28,0.369230769,False,False,False,True,True,False,130,130,120,1,195,195,0.278,Left,72,Steve Kemp,195
0.26,0.424242424,False,False,False,True,True,True,50,50,40,1,165,165,0.273,Right,70,Rick Burleson,165
0.00,0.415789474,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,79,Jim Dorsey,190
0.00,0.4,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,72,Mark Ciardi,180
0.00,0.4,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,72,Dennis Burtt,180
0.26,0.37,False,False,False,True,True,True,10,10,0,1,200,200,0.266,Right,74,Carl Taylor,200
0.22,0.411111111,False,False,False,True,True,True,4,0,0,1,180,180,0.233,Right,74,Terry Harmon,180
0.28,0.369230769,False,False,False,True,True,False,80,80,80,1,195,195,0.29,Left,72,Mike Hargrove,195
0.00,0.395721925,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,74,Rich Yett,187
0.26,0.372340426,False,False,False,True,True,False,8,0,0,1,185,185,0.258,Left,70,Steve Hovley,188
0.22,0.336363636,False,False,False,True,True,True,15,10,0,1,220,220,0.229,Right,74,Don Leppert,220
0.00,0.365,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,73,Matt Williams,200
0.00,0.384615385,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,75,Jim Burton,195
0.00,0.352380952,True,False,True,True,True,True,0,0,0,1,210,210,0,Right,74,Rick Anderson,210
0.00,0.441176471,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,75,Charlie Mitchell,170
0.00,0.411428571,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,72,Bill Paschall,175
0.00,0.411428571,True,False,True,True,True,False,0,0,0,1,175,175,0,Both,72,John Bohnet,175
0.00,0.417142857,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,73,Byron McLaughlin,175
0.26,0.384615385,False,False,False,True,True,True,354,350,340,1,195,195,0.267,Right,75,Lee May,195
0.00,0.422857143,True,False,True,True,True,False,0,0,0,1,175,175,0,Left,74,Luis Quintana,175
0.14,0.405263158,False,False,False,True,True,False,2,0,0,1,190,190,0.154,Left,77,Sam McDowell,190
0.21,0.382978723,False,False,False,True,True,True,20,20,20,1,185,185,0.221,Right,72,Rick Renick,188
0.21,0.369230769,False,False,False,True,True,True,8,0,0,1,195,195,0.214,Right,72,Jeff Torborg,195
0.21,0.405555556,False,False,False,True,True,True,20,20,20,1,180,180,0.213,Right,73,Dave Campbell,180
0.26,0.394594595,False,False,False,True,True,False,76,70,60,1,185,185,0.264,Left,73,Pat Kelly,185
0.21,0.45,False,False,False,True,True,False,7,0,0,1,160,160,0.219,Both,72,Al Weis,160
0.24,0.383333333,False,False,False,True,True,False,45,40,40,1,180,180,0.257,Left,69,Jerry Turner,180
0.21,0.436363636,False,False,False,True,True,True,9,0,0,1,165,165,0.22,Right,72,Rick Auerbach,165
0.00,0.4,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,76,Keith Macwhorter,190
0.14,0.379487179,False,False,False,True,True,True,1,0,0,1,195,195,0.146,Right,74,Don Wilson,195
0.00,0.38,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,76,Jaime Cocanower,200
0.00,0.417142857,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,73,Jeff Sellers,175
0.22,0.4,False,False,False,True,True,False,7,0,0,1,170,170,0.23,Left,68,Sandy Valdespino,170
0.00,0.360975610,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,74,Steve Senteney,205
0.00,0.369230769,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,72,Howard Bailey,195
0.00,0.416666667,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,75,Jeff Bettendorf,180
0.22,0.349282297,False,False,False,True,True,False,123,120,120,1,205,205,0.239,Left,73,Ken Phelps,209
0.28,0.422857143,False,False,False,True,True,True,199,190,180,1,175,175,0.285,Right,74,Cesar Cedeno,175
0.00,0.389189189,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,72,Bob Davidson,185
0.22,0.405555556,False,False,False,True,True,True,11,10,0,1,180,180,0.235,Right,73,Phil Linz,180
0.29,0.4375,False,True,False,True,True,True,31,30,20,1,160,160,0.304,Right,70,Manny Mota,160
0.00,0.405405405,True,False,True,True,True,False,0,0,0,1,185,185,0,Left,75,Brian Snyder,185
0.21,0.334782609,False,False,False,True,True,True,6,0,0,1,230,230,0.215,Right,77,Steve Renko,230
0.24,0.374358974,False,False,False,True,True,False,9,0,0,1,195,195,0.243,Left,73,Rick Sofield,195
0.00,0.394444444,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,71,Carlos Velazquez,180
0.00,0.375,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,75,Roger Miller,200
0.26,0.389473684,False,False,False,True,True,True,237,230,220,1,190,190,0.259,Right,74,Doug DeCinces,190
0.28,0.405714286,False,False,False,True,True,True,41,40,40,1,175,175,0.278,Right,71,John Castino,175
0.24,0.376344086,False,False,False,True,True,False,96,90,80,1,185,185,0.251,Left,70,Dave May,186
0.26,0.458064516,False,False,False,True,True,True,20,20,20,1,155,155,0.261,Right,71,Ron Washington,155
0.22,0.424242424,False,False,False,True,True,True,28,20,20,1,165,165,0.236,Right,70,Billy Grabarkewitz,165
0.26,0.340909091,False,False,False,True,True,False,110,110,100,1,220,220,0.271,Left,75,Willie Aikens,220
0.24,0.348837209,False,False,False,True,True,True,138,130,120,1,215,215,0.247,Right,75,Earl Williams,215
0.00,0.345454545,True,False,True,True,True,True,0,0,0,1,220,220,0,Right,76,Willie Mueller,220
0.00,0.411428571,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,72,John Flinn,175
0.22,0.405555556,False,False,False,True,True,True,7,0,0,1,180,180,0.236,Right,73,Don Hahn,180
0.21,0.411428571,False,False,False,True,True,True,34,30,20,1,175,175,0.22,Right,72,Todd Cruz,175
0.19,0.348623853,False,False,False,True,True,True,22,20,20,1,215,215,0.2,Right,76,Tom Egan,218
0.24,0.411428571,False,False,False,True,True,True,1,0,0,1,175,175,0.247,Right,72,Bob Heise,175
0.24,0.418181818,False,False,False,True,True,True,146,140,140,1,165,165,0.257,Right,69,Tommy Harper,165
0.24,0.394444444,False,False,False,True,True,False,16,10,0,1,180,180,0.244,Both,71,Joe Wallis,180
0.24,0.383783784,False,False,False,True,True,True,111,110,100,1,185,185,0.247,Right,71,Max Alvis,185
0.29,0.375,False,False,False,True,True,True,204,200,200,1,200,200,0.299,Right,75,Rico Carty,200
0.26,0.4,False,False,False,True,True,False,34,30,20,1,180,180,0.258,Left,72,Mike Cubbage,180
0.00,0.378238342,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,73,Les Straker,193
0.24,0.417647059,False,False,False,True,True,False,8,0,0,1,170,170,0.247,Left,71,Merritt Ranew,170
0.31,0.405555556,False,True,False,True,True,False,23,20,20,1,180,180,0.311,Left,73,Lyman Bostock,180
0.28,0.442424242,False,False,False,True,True,True,36,30,20,1,165,165,0.283,Right,73,Damaso Garcia,165
0.00,0.365853659,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,75,Don Kainer,205
0.00,0.417142857,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,73,Don Gordon,175
0.26,0.384210526,False,False,False,True,True,False,80,80,80,1,190,190,0.261,Left,73,Roy Howell,190
0.26,0.330434783,False,False,False,True,True,False,339,330,320,1,230,230,0.266,Left,76,Boog Powell,230
0.00,0.374358974,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,73,Sandy Wihtol,195
0.17,0.394736842,False,False,False,True,True,True,12,10,0,1,190,190,0.173,Right,75,Sonny Siebert,190
0.00,0.405405405,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,75,Jeff Richardson,185
0.24,0.389473684,False,False,False,True,True,True,83,80,80,1,190,190,0.251,Right,74,Bobby Darwin,190
0.00,0.389473684,True,False,True,True,True,False,0,0,0,1,190,190,0,Left,74,Dennis DeBarr,190
0.26,0.379679144,False,False,False,True,True,False,153,150,140,1,185,185,0.267,Left,71,Dan Driessen,187
0.24,0.394594595,False,False,False,True,True,True,1,0,0,1,185,185,0.246,Right,73,Bruce Miller,185
0.26,0.417647059,False,False,False,True,True,True,9,0,0,1,170,170,0.264,Right,71,Bob Bailor,170
0.26,0.424242424,False,False,False,True,True,True,34,30,20,1,165,165,0.269,Right,70,Tommy Helms,165
0.24,0.390109890,False,False,False,True,True,True,251,250,240,1,180,180,0.252,Right,71,Tony Armas,182
0.26,0.339712919,False,False,False,True,True,True,325,320,320,1,205,205,0.273,Right,71,Willie Horton,209
0.28,0.395604396,False,False,False,True,True,True,102,100,100,1,180,180,0.291,Right,72,Lou Piniella,182
0.24,0.378238342,False,False,False,True,True,True,98,90,80,1,190,190,0.248,Right,73,Butch Hobson,193
0.26,0.360975610,False,False,False,True,True,True,21,20,20,1,205,205,0.262,Right,74,John Wathan,205
0.21,0.365,False,False,False,True,True,False,24,20,20,1,200,200,0.214,Left,73,Hal King,200
0.19,0.375609756,False,False,False,True,True,True,5,0,0,1,205,205,0.193,Right,77,Mike Krukow,205
0.21,0.4,False,False,False,True,True,True,27,20,20,1,180,180,0.223,Right,72,Andres Mora,180
0.22,0.365853659,False,False,False,True,True,True,57,50,40,1,205,205,0.23,Right,75,Barry Foote,205
0.26,0.368421053,False,False,False,True,True,False,33,30,20,1,190,190,0.259,Left,70,Ed Ott,190
0.26,0.4625,False,False,False,True,True,False,5,0,0,1,160,160,0.259,Both,74,Alan Wiggins,160
0.17,0.4,False,False,False,True,True,True,5,0,0,1,175,175,0.189,Right,70,Ron Clark,175
0.00,0.417582418,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,76,Jay Pettibone,182
0.00,0.394444444,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,71,Glen Cook,180
0.26,0.4,False,False,False,True,True,True,6,0,0,1,180,180,0.26,Right,72,Julio Gotay,180
0.22,0.379487179,False,False,False,True,True,True,55,50,40,1,195,195,0.23,Right,74,Gary Alexander,195
0.24,0.375,False,False,False,True,True,True,253,250,240,1,200,200,0.254,Right,75,Andre Thornton,200
0.24,0.365853659,False,False,False,True,True,True,94,90,80,1,205,205,0.256,Right,75,Bob Oliver,205
0.00,0.417647059,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,71,Bill Castro,170
0.00,0.385416667,True,False,True,True,True,False,0,0,0,1,190,190,0,Left,74,Ed Hodge,192
0.00,0.375,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,75,Tom Buskey,200
0.00,0.404494382,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,72,Bruce Taylor,178
0.00,0.4,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,74,Stan Thomas,185
0.24,0.374358974,False,False,False,True,True,True,115,110,100,1,195,195,0.242,Right,73,Bob Robertson,195
0.00,0.38,True,False,True,True,True,True,0,0,0,1,200,200,0,Right,76,Larry Monroe,200
0.00,0.394736842,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,75,Roger Slagle,190
0.26,0.415730337,False,False,False,True,True,True,102,100,100,1,175,175,0.265,Right,74,Ollie Brown,178
0.00,0.405714286,True,False,True,True,True,False,0,0,0,1,175,175,0,Left,71,Jim Campbell,175
0.21,0.429411765,False,False,False,True,True,True,5,0,0,1,170,170,0.214,Right,73,Frank Quilici,170
0.00,0.422857143,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,74,Curt Kaufman,175
0.26,0.4,False,False,False,True,True,False,219,210,200,1,185,185,0.258,Left,74,Joe Pepitone,185
0.10,0.369230769,False,False,False,True,True,False,5,0,0,1,195,195,0.115,Left,72,Steve Barber,195
0.00,0.394444444,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,71,De Wayne Vaughn,180
0.22,0.378378378,False,False,False,True,True,False,24,20,20,1,185,185,0.238,Left,70,Norm Miller,185
0.00,0.356097561,True,False,True,True,True,False,0,0,0,1,205,205,0,Left,73,Bob Galasso,205
0.00,0.389189189,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,72,Rich Wortham,185
0.26,0.377551020,False,False,False,True,True,False,24,20,20,1,195,195,0.261,Left,74,Bob Chance,196
0.22,0.418181818,False,False,False,True,True,False,23,20,20,1,165,165,0.237,Both,69,Julio Cruz,165
0.26,0.394285714,False,False,False,True,True,True,46,40,40,1,175,175,0.272,Right,69,Bill Sample,175
0.00,0.428571429,True,False,True,True,True,False,0,0,0,1,175,175,0,Left,75,Juan Nieves,175
0.00,0.411111111,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,74,Mike Bacsik,180
0.22,0.357142857,False,False,False,True,True,True,46,40,40,1,210,210,0.235,Right,75,Craig Kusick,210
0.21,0.418181818,False,False,False,True,True,False,2,0,0,1,165,165,0.212,Left,69,Rudy Meoli,165
0.24,0.411764706,False,False,False,True,True,False,147,140,140,1,170,170,0.25,Left,70,Ruppert Jones,170
0.24,0.417142857,False,False,False,True,True,True,23,20,20,1,175,175,0.242,Right,73,Glenn Hoffman,175
0.22,0.374358974,False,False,False,True,True,True,8,0,0,1,195,195,0.228,Right,73,Russ Gibson,195
